text,label,label_id,predicted_label_id,predicted_label
"Except as otherwise provided below or in the Award Document, all Options will become exercisable at the rate of 20% per year on each of the first five anniversaries of the Grant Date and will expire and terminate at 4:00 p.m. Eastern Time on the tenth anniversary of the Grant Date.",General,16,9,Terms
"Executive shall not be required to mitigate the amount of any payment provided for under this Agreement by seeking other employment or in any other manner. Notwithstanding anything to the contrary in this Agreement, the termination of Executive’s employment shall not impair the rights or obligations of any Party.",Survival,6,10,Terminations
"Each Subsidiary of the Company that is or becomes a “Subsidiary Borrower” pursuant to this Section 2.23 hereby irrevocably appoints the Company as its agent for all purposes relevant to this Agreement and each of the other Loan Documents, including (i) the giving and receipt of notices, (ii) the execution and delivery of all documents, instruments and certificates contemplated herein and all modifications hereto, and (iii) the receipt of the proceeds of any Loans made by the Lenders to any such Subsidiary Borrower hereunder. Any acknowledgment, consent, direction, certification or other action which might otherwise be valid or effective only if given or taken by all Borrowers, or by each Borrower acting singly, shall be valid and effective if given or taken only by the Company, whether or not any such other Borrower joins therein.",Notices,1,16,General
"Upon the Completion Date with respect to the Facility and the installation of all of the Equipment therein, the Company shall prepare and deliver to the Agency, a schedule listing all of the Equipment not previously described in this Lease Agreement. If requested by the Agency, the Company shall thereafter furnish to the Agency, within sixty (60) days after the end of each calendar year, a schedule listing all of the Equipment not theretofore previously described herein or in the aforesaid schedule.",Further Assurances,14,16,General
Employee’s right to the shares of Restricted Stock awarded under this Agreement as to which the restrictions have not lapsed shall cease and terminate immediately upon Employee’s termination of employment with Macatawa Bank Corporation or any of its subsidiaries during the Restricted Period for any reason other than Employee’s death or disability.,General,16,10,Terminations
"Notices and all other communications contemplated by this Agreement will be in writing and will be deemed to have been duly given when sent electronically or personally delivered when mailed by U.S. registered or certified mail, return receipt requested and postage prepaid or when delivered by a private courier service such as UPS, DHL or Federal Express that has tracking capability. In the case of Executive, notices will be sent to the e-mail address or addressed to Executive at the home address, in either case which Executive most recently communicated to the Company in writing. In the case of the Company, electronic notices will be sent to the e-mail address of the Chairman of the Board of Directors and the General Counsel and mailed notices will be addressed to its corporate headquarters, and all notices will be directed to the attention of its Board of Directors and General Counsel.",General,16,1,Notices
"Notwithstanding the provisions of Section 7.4 hereof, the personal representative of Grantee may, within two (2) months following his appointment, offer such part or all of the stock of decedent for sale to Hills as does not exceed in value the sum of (1) the estate, inheritance, legacy and succession taxes (including any interest collected as a part of such taxes) imposed because of the decedent's death and (2) the amount of funeral and administration expenses allowable as deductions to the estate under Section 2053 of the Internal Revenue Code of 1986 or subsequent similar enactments. Such offer shall be made only if the value (for Federal Estate Tax purposes) of all the stock of such Corporation, or of such Corporation and of other companies, equals or exceeds the amounts prescribed by Section 303(b) (2) of the Internal Revenue Code of 1986 or subsequent similar enactments, and all other requirements for treatment of the payment therefore as a distribution in full payment in exchange for such stock, are met. The Corporation, unless by law prohibited, shall accept such offer and shall pay the purchase price as hereinafter provided in cash.",Expenses,8,16,General
"If arbitration occurs as provided for herein, the Corporation shall reimburse the Executive for his reasonable attorneys’ fees, costs and disbursements incurred in such arbitration and hereby agrees to pay interest on any money award obtained by the Executive from the date payment should have been made until the date payment is made, calculated at the prime interest rate of Bank of America, N.A., in effect from time to time, plus 2%, from the date that payment(s) to him should have been made under this Agreement. If the Executive enforces the arbitration award in court, the Corporation shall reimburse the Executive for his reasonable attorneys’ fees, costs and disbursements incurred in such enforcement.",Indemnifications,18,8,Expenses
"The Guarantor shall promptly pay to the Guaranteed Parties the amount (as reduced by the amounts paid by the Company) of any and all reasonable out-of-pocket costs and expenses of the Guaranteed Parties (both before and after the execution hereof) in connection with (a) the development, preparation and execution of, and any amendment, supplement or modification to this Guarantee and any of the other Credit Documents and any other documents prepared in connection herewith or therewith, and the consummation and administration of the transactions contemplated hereby and thereby, (b) any action by any Guaranteed Party to commence, defend, or intervene in any litigation or to file a petition complaint, answer, motion or other pleadings necessary to protect or enforce the rights of the Guaranteed Parties under this Guarantee or any other Credit Document, provided that only the Administrative Agent, for and on behalf of itself or any Guaranteed Party, may commence any such litigation, (c) the taking by any Guaranteed Party of any other action in or with respect to any suit or proceeding (bankruptcy or otherwise) necessary to protect the rights of the Guaranteed Parties under this Guarantee or any other Credit Document or to respond to any subpoena, deposition or interrogatory with respect to any litigation involving the Guarantor, or (d) the taking by any Guaranteed Party of any action to attempt to enforce or to enforce any rights of the Guaranteed Parties to collect any of the Obligations, including all reasonable fees, expenses and disbursements of attorneys and paralegals. Any payments to be made by the Guarantor under this Section 7.2 shall be made within 30 days of the demand therefor.",Expenses,8,13,Litigations
"Any outstanding Loans and other outstanding Obligations (other than contingent indemnification obligations) shall be repaid in full by the Borrower on the Scheduled Maturity Date. Notwithstanding the termination of this Agreement on the latest Scheduled Maturity Date, until all of the Obligations (other than contingent indemnification obligations) shall have been fully paid and satisfied, all of the rights and remedies under this Agreement and the other Loan Documents shall survive. In addition, the Borrower shall make all payments as, when and to the extent required under Section 2.21 to each Lender that does not consent to the extension of its Scheduled Maturity Date.",Terminations,10,6,Survival
