component,parameter,value,notes
general,random_seed,42,Used for sampling and model seeds.
tfidf,max_features_grid,"[10000, 30000]",Classical feature grid.
tfidf,ngram_range_grid,"[(1, 1), (1, 2)]",Classical feature grid.
preprocessing,html_entity_cleanup,True,Applied before schema-preserving LEDGAR export.
preprocessing,legal_safe_lowercase_tokeniser,True,Lab-grounded regex tokenisation with lowercasing for sparse features.
preprocessing,negation_aware_tokeniser,default for classical TF-IDF,Prefixes the token immediately after no/not/never.
preprocessing,stopword_removal,False,Skipped because legal cues such as not/no/shall/without can be label-critical.
preprocessing,bpe_inspection,training-split samples,"Used as a teaching/OOV inspection step, not as the final classifier representation."
tfidf,tokenizer,negation_aware,Set in modules/classical_models.py.
tfidf,lowercase,False,Lowercasing is handled inside the lab-grounded tokenizer.
tfidf,stop_words,,Legal stopwords are retained.
tfidf,token_pattern,,Disabled because a custom tokenizer is used.
logistic_regression,max_iter,2000,Set in modules/classical_models.py.
logistic_regression,class_weight_grid,"[None, 'balanced']",Validation-selected.
linear_svm,class_weight_grid,"[None, 'balanced']",Validation-selected.
multinomial_nb,enabled,True,Optional classical comparison.
transformer,model_name,distilbert-base-uncased,Configured model; metrics exist only if the cell completes.
transformer,max_sequence_length,256,Tokenizer truncation length.
transformer,learning_rate,2e-05,Set in modules/transformer_model.py.
transformer,epochs,3,Set in modules/transformer_model.py.
transformer,weight_decay,0.01,Set in modules/transformer_model.py.
transformer,batch_size_policy,16 if GPU memory > 12GB else 8,Set in modules/transformer_model.py.
transformer,fp16,torch.cuda.is_available(),Uses mixed precision only on CUDA.
transformer,selection_metric,validation macro-F1,Best model selection.
qwen,model_name,Qwen/Qwen2.5-3B-Instruct,Configured prompting model.
qwen,eval_sample_size,200,Maximum sampled test examples.
qwen,few_shot_examples_per_class,1,Training examples only.
qwen,max_new_tokens,24,Set in modules/qwen_prompting.py.
qwen,do_sample,False,Deterministic decoding.
qwen,fuzzy_matching_cutoff,0.8,Used only when unambiguous.
