text,true_label,true_label_id,predicted_label,predicted_label_id,confidence,is_correct,dataset_name,model_name,source_dataset,contract_id,span_id,label_original,label_mapped,text_length_chars,text_length_words
"This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.",Terms,9,Counterparts,2,0.9999998882740178,False,CUAD_external,multinomial_nb,CUAD,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,cuad_14_0_3_0,Effective Date,Terms,255,43
"Unless terminated sooner, the term of this Agreement shall begin on the Effective Date and continue for three (3) years thereafter (the ""Initial Term"") and shall automatically renew for additional one (1) year terms on the terms and conditions set forth herein (each a ""Renewal Term"" and collectively, the ""Term"") unless either party gives the other Party Notice of its intention to terminate this Agreement ninety (90) days before the end of the Initial Term or Renewal Term, if any.",Notices,1,Terms,9,0.9999829364422876,False,CUAD_external,multinomial_nb,CUAD,"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",cuad_350_0_6_0,Notice Period To Terminate Renewal,Notices,484,80
The initial term of this Agreement shall be for a period of five (5) years from the date first set forth above and shall thereafter automatically renew for additional two (2) year terms unless a party provides the other party with notice of non-renewal no less than 6 months prior to the expiration of the initial term or any renewal term unless earlier terminated as follows:,Notices,1,Terms,9,0.9999151296676052,False,CUAD_external,multinomial_nb,CUAD,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,cuad_85_0_6_0,Notice Period To Terminate Renewal,Notices,376,66
The initial term of this Agreement shall be for a period of five (5) years from the date first set forth above and shall thereafter automatically renew for additional two (2) year terms unless a party provides the other party with notice of non-renewal no less than 6 months prior to the expiration of the initial term or any renewal term unless earlier terminated as follows:,Terminations,10,Terms,9,0.9999151296676052,False,CUAD_external,multinomial_nb,CUAD,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,cuad_85_0_15_1,Termination For Convenience,Terminations,376,66
"Unless earlier terminated as provided herein, this Agreement continues in effect for an initial term of seven (7) years (""Initial Term"") and will automatically renew for one or more annual periods after the Initial Term (each a ""Renewal Term"") unless either party gives notice of non-renewal at least one hundred eighty (180) days prior to the beginning of any Renewal Term.",Notices,1,Terms,9,0.9999015387720259,False,CUAD_external,multinomial_nb,CUAD,ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,cuad_38_0_6_0,Notice Period To Terminate Renewal,Notices,374,61
"This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.",Notices,1,Terms,9,0.9999014418207312,False,CUAD_external,multinomial_nb,CUAD,SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement,cuad_268_0_6_0,Notice Period To Terminate Renewal,Notices,396,66
"This Agreement will commence on the Effective Date and continue for an Initial Term of five (5) years, and will automatically renew for additional periods of five (5) years unless one Party notifies the other of its intention not to renew, no less than 12 months prior to the expiration of the then-current term, unless terminated as permitted under this Agreement.",Notices,1,Terms,9,0.9998743531467206,False,CUAD_external,multinomial_nb,CUAD,"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",cuad_107_0_6_0,Notice Period To Terminate Renewal,Notices,365,61
"Unless otherwise terminated as provided herein, the initial term of this Agreement shall be three (3) years from the Effective Date and shall thereafter be automatically renewed for subsequent one (1) year periods unless either party notifies the other in writing of its election not to renew the Agreement at least one hundred twenty (120) days prior to the expiration of the then-current term.",Notices,1,Terms,9,0.999870306477401,False,CUAD_external,multinomial_nb,CUAD,"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT",cuad_369_0_6_0,Notice Period To Terminate Renewal,Notices,395,64
"This Agreement shall have an initial term of one (1) year from the date first above written (the ""Initial Term""), and shall thereafter automatically renew for successive two (2) year periods (each a ""Renewal Term""), unless earlier terminated in accordance with the terms of this Agreement.",Notices,1,Terms,9,0.9998589389072754,False,CUAD_external,multinomial_nb,CUAD,HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT,cuad_198_0_6_0,Notice Period To Terminate Renewal,Notices,289,46
"This Agreement shall commence on the Effective Date and shall continue until the four-year anniversary of the Effective Date (such period, as it may be extended, either by the mutual written agreement of the parties or automatically, or earlier terminated being referred to as the ""Consultation Period""), unless sooner terminated in accordance with the provisions of Section 4, and shall automatically renew for successive one-year periods, unless the Company provides 90 days' notice of termination before any such successive period.",Notices,1,Terms,9,0.9998397800071219,False,CUAD_external,multinomial_nb,CUAD,PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT,cuad_377_0_6_0,Notice Period To Terminate Renewal,Notices,534,80
