text,true_label,true_label_id,predicted_label,predicted_label_id,confidence,is_correct,dataset_name,model_name,source_dataset,contract_id,span_id,label_original,label_mapped,text_length_chars,text_length_words
"This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.",Terms,9,Counterparts,2,0.9993458390235901,False,CUAD_external,distilbert-base-uncased,CUAD,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,cuad_14_0_3_0,Effective Date,Terms,255,43
the receipt of such Notice by the Repairer or any other lesser period to be granted by the Repairer.,Terminations,10,Notices,1,0.9988808035850525,False,CUAD_external,distilbert-base-uncased,CUAD,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,cuad_86_0_15_0,Termination For Convenience,Terminations,100,19
by Licensor or Licensee upon sixty (60) days' written notice to the other party;,Terminations,10,Notices,1,0.9988183379173279,False,CUAD_external,distilbert-base-uncased,CUAD,PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement,cuad_163_0_15_0,Termination For Convenience,Terminations,80,14
Written notice of intention to withdraw must be served in writing upon the remaining Participants at least Thirty (30) business days prior to the withdrawal date.,Terminations,10,Notices,1,0.9986698627471924,False,CUAD_external,distilbert-base-uncased,CUAD,"MJBIOTECH,INC_12_06_2018-EX-99.01-JOINT VENTURE AGREEMENT",cuad_225_0_15_0,Termination For Convenience,Terminations,162,26
"Each party agrees to give the other party written notice, promptly, of any material change in or cancellation of coverages or limits.",Insurances,11,Notices,1,0.9986506104469299,False,CUAD_external,distilbert-base-uncased,CUAD,BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT,cuad_313_0_38_4,Insurance,Insurances,133,22
The Company reserves the right in its sole and absolute discretion to give written notice to,Terminations,10,Notices,1,0.9985761642456055,False,CUAD_external,distilbert-base-uncased,CUAD,BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,cuad_78_0_15_0,Termination For Convenience,Terminations,92,16
receipt of such notice to receive Technical Support at Manufacturer's sole cost to enable Customer to orderly transfer production of affected Product or Products to a Customer facility or an alternative facility as designated by Customer; provided that Manufacturer shall notify Customer of any proposed or planned Facility Disposition by Manufacturer or any of its Affiliates as soon as reasonably practicable and in any event no later than the date that is three (3) months prior to the effective date of such Facility Disposition.,Assignments,7,Notices,1,0.998570442199707,False,CUAD_external,distilbert-base-uncased,CUAD,UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,cuad_71_0_18_1,Anti-Assignment,Assignments,533,84
(ii) upon sixty (60) days' written notice by the Licensor to the Licensee or (b) by the Licensee,Terminations,10,Notices,1,0.9985270500183105,False,CUAD_external,distilbert-base-uncased,CUAD,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement,cuad_280_0_15_2,Termination For Convenience,Terminations,96,18
for any reason on at least ninety (90) days written notice to the other party.,Terminations,10,Notices,1,0.9984651803970337,False,CUAD_external,distilbert-base-uncased,CUAD,AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT,cuad_212_0_15_0,Termination For Convenience,Terminations,78,15
(ii) upon sixty (60) days' written notice by the Licensee to the Licensor.,Terminations,10,Notices,1,0.9983096122741699,False,CUAD_external,distilbert-base-uncased,CUAD,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement,cuad_280_0_15_1,Termination For Convenience,Terminations,74,13
"The policy shall provide for ten (10) days notice to the AS Parties from the insurer by Registered or Certified Mail, return receipt requested, in the event of any modification, cancellation, or termination thereof.",Insurances,11,Notices,1,0.9982470273971558,False,CUAD_external,distilbert-base-uncased,CUAD,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement,cuad_355_0_38_2,Insurance,Insurances,215,34
"In the event that either Wade or Naked wishes to extend the Term of the Agreement as contemplated above, it shall provide the other Party with written notice at least ninety (90) days prior to the expiration of the Term.",Terms,9,Notices,1,0.9980169534683228,False,CUAD_external,distilbert-base-uncased,CUAD,NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement,cuad_473_0_5_2,Renewal Term,Terms,220,40
"HERC shall provide for ten (10) days notice to THC and HSI in the event of any modification, cancellation or termination.",Insurances,11,Notices,1,0.9978772401809692,False,CUAD_external,distilbert-base-uncased,CUAD,"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT",cuad_28_0_38_0,Insurance,Insurances,121,21
The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.,Notices,1,Terms,9,0.9972665309906006,False,CUAD_external,distilbert-base-uncased,CUAD,"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement",cuad_183_0_6_0,Notice Period To Terminate Renewal,Notices,133,24
"In the event that the Company engages a third party to perform any of the obligations of the Contractor under this Agreement, the Company 19 shall provide written notice to the Contractor of such engagement, the Contractor shall thereafter be relieved of any such obligations for which the third party was engaged.",Assignments,7,Notices,1,0.9971906542778015,False,CUAD_external,distilbert-base-uncased,CUAD,ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,cuad_68_0_18_1,Anti-Assignment,Assignments,314,52
"If the Farids Group determines for any reason not to proceed with any proposed registration requested pursuant to Section 6.1, the Farids Group shall promptly notify the Company in writing.",Terminations,10,Notices,1,0.9971753358840942,False,CUAD_external,distilbert-base-uncased,CUAD,"ROCKYMOUNTAINCHOCOLATEFACTORY,INC_12_23_2019-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",cuad_307_0_15_0,Termination For Convenience,Terminations,189,30
"No transfer, amendment, waiver, supplement, assignment or other modification of this Transaction (other than the pledge of this Transaction to the Master Servicer pursuant to the Pooling and Servicing Agreement) shall be permitted by either party unless Moody's and Fitch have been provided notice of the same and confirm in writing (including by facsimile transmission) that they will not downgrade, qualify, withdraw or otherwise modify its then-current rating of the Certificates; provided however that except with respect to a transfer at the direction of UBS, nothing in this provision shall impose any obligation on UBS to give notice to any rating agency.",Assignments,7,Amendments,5,0.9971649050712585,False,CUAD_external,distilbert-base-uncased,CUAD,WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement,cuad_96_0_18_0,Anti-Assignment,Assignments,662,102
"Before engaging any IAC Subcontractor, IAC shall first notify and get written approval from Sonos for the use of such IAC Subcontractor.",Assignments,7,Notices,1,0.9971532821655273,False,CUAD_external,distilbert-base-uncased,CUAD,"Sonos, Inc. - Manufacturing Agreement",cuad_192_0_18_1,Anti-Assignment,Assignments,136,22
"Subject to the other provisions of this Agreement, the term of this Agreement shall commence on the Effective Date and shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice.",Notices,1,Terms,9,0.9971280694007874,False,CUAD_external,distilbert-base-uncased,CUAD,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,cuad_151_0_6_0,Notice Period To Terminate Renewal,Notices,219,36
"Subject to the other provisions of this Agreement, the term of this Agreement shall commence on the Effective Date and shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice.",Terminations,10,Terms,9,0.9971280694007874,False,CUAD_external,distilbert-base-uncased,CUAD,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,cuad_151_0_15_0,Termination For Convenience,Terminations,219,36
