text,true_label,true_label_id,predicted_label,predicted_label_id,confidence,is_correct,dataset_name,model_name,source_dataset,contract_id,span_id,label_original,label_mapped,text_length_chars,text_length_words
"Unless terminated sooner, the term of this Agreement shall begin on the Effective Date and continue for three (3) years thereafter (the ""Initial Term"") and shall automatically renew for additional one (1) year terms on the terms and conditions set forth herein (each a ""Renewal Term"" and collectively, the ""Term"") unless either party gives the other Party Notice of its intention to terminate this Agreement ninety (90) days before the end of the Initial Term or Renewal Term, if any.",Notices,1,Terms,9,0.99575040202134,False,CUAD_external,logistic_regression,CUAD,"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",cuad_350_0_6_0,Notice Period To Terminate Renewal,Notices,484,80
"Subject to the other provisions of this Agreement, the term of this Agreement shall commence on the Effective Date and shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice.",Notices,1,Terms,9,0.9901903520810785,False,CUAD_external,logistic_regression,CUAD,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,cuad_151_0_6_0,Notice Period To Terminate Renewal,Notices,219,36
"Subject to the other provisions of this Agreement, the term of this Agreement shall commence on the Effective Date and shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice.",Terminations,10,Terms,9,0.9901903520810785,False,CUAD_external,logistic_regression,CUAD,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,cuad_151_0_15_0,Termination For Convenience,Terminations,219,36
"This Agreement may be executed in one or more counterparts, all of which counterparts shall be considered one and the same agreement, and shall become effective when one or more counterparts have been signed by each Party and delivered to the other Party.",Terms,9,Counterparts,2,0.9876416708609824,False,CUAD_external,logistic_regression,CUAD,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,cuad_14_0_3_0,Effective Date,Terms,255,43
"The term of this Agreement is three years from and including the date of this Agreement (the ""Initial Term""), with automatic renewal for additional successive one-year terms (each a ""Renewal Term"" and together wit the Initial Term, the ""Term"") unless no later than [* * *] days prior to the end of the Initial Term, or any Renewal Term either party notifies the other that it wishes to terminate this Agreement effective the end of the Initial Term or that Renewal Term, as applicable.",Notices,1,Terms,9,0.9787233999994971,False,CUAD_external,logistic_regression,CUAD,"VAPOTHERM, INC. - Manufacturing and Supply Agreement",cuad_194_0_6_0,Notice Period To Terminate Renewal,Notices,485,84
"This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.",Notices,1,Terms,9,0.9733930243319966,False,CUAD_external,logistic_regression,CUAD,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,cuad_67_0_6_0,Notice Period To Terminate Renewal,Notices,319,54
This Agreement shall commence on the Effective Date and shall be valid for a period of five (5) years with automatic renewal of one year thereafter until terminated,Notices,1,Terms,9,0.9724586444740349,False,CUAD_external,logistic_regression,CUAD,Apollo Endosurgery - Manufacturing and Supply Agreement,cuad_224_0_6_1,Notice Period To Terminate Renewal,Notices,164,28
"This Agreement shall commence on the Effective Date and shall continue until the four-year anniversary of the Effective Date (such period, as it may be extended, either by the mutual written agreement of the parties or automatically, or earlier terminated being referred to as the ""Consultation Period""), unless sooner terminated in accordance with the provisions of Section 4, and shall automatically renew for successive one-year periods, unless the Company provides 90 days' notice of termination before any such successive period.",Notices,1,Terms,9,0.9707176713606293,False,CUAD_external,logistic_regression,CUAD,PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT,cuad_377_0_6_0,Notice Period To Terminate Renewal,Notices,534,80
"The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").",Notices,1,Terms,9,0.9691769550693128,False,CUAD_external,logistic_regression,CUAD,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement,cuad_156_0_6_0,Notice Period To Terminate Renewal,Notices,232,36
"This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").",Notices,1,Terms,9,0.9686515711667892,False,CUAD_external,logistic_regression,CUAD,PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement,cuad_98_0_6_0,Notice Period To Terminate Renewal,Notices,443,73
"This Agreement shall have an initial term of one (1) year from the date first above written (the ""Initial Term""), and shall thereafter automatically renew for successive two (2) year periods (each a ""Renewal Term""), unless earlier terminated in accordance with the terms of this Agreement.",Notices,1,Terms,9,0.9677405079014151,False,CUAD_external,logistic_regression,CUAD,HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT,cuad_198_0_6_0,Notice Period To Terminate Renewal,Notices,289,46
"Upon expiration of the Initial Term, this Agreement shall automatically renew for consecutive one (1) year periods, unless terminated by Reseller within sixty (60) days prior to the expiration of the Initial Term or any renewal term, as the case may be (the Initial Term and each renewal term, collectively, the ""Term"").",Notices,1,Terms,9,0.9620389031264579,False,CUAD_external,logistic_regression,CUAD,DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT,cuad_279_0_6_0,Notice Period To Terminate Renewal,Notices,320,52
The initial term of this Agreement shall be for a period of five (5) years from the date first set forth above and shall thereafter automatically renew for additional two (2) year terms unless a party provides the other party with notice of non-renewal no less than 6 months prior to the expiration of the initial term or any renewal term unless earlier terminated as follows:,Notices,1,Terms,9,0.9611794146265775,False,CUAD_external,logistic_regression,CUAD,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,cuad_85_0_6_0,Notice Period To Terminate Renewal,Notices,376,66
The initial term of this Agreement shall be for a period of five (5) years from the date first set forth above and shall thereafter automatically renew for additional two (2) year terms unless a party provides the other party with notice of non-renewal no less than 6 months prior to the expiration of the initial term or any renewal term unless earlier terminated as follows:,Terminations,10,Terms,9,0.9611794146265775,False,CUAD_external,logistic_regression,CUAD,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,cuad_85_0_15_1,Termination For Convenience,Terminations,376,66
"The terms of this Agreement shall be one year from the effective date and will be automatically renewed on each anniversary of the effective date, for a renewal term of one year unless either party provides written notification of its intention not to renew this Agreement at least one month prior to the expiration of the initial or any renewal terms.",Notices,1,Terms,9,0.9435266932557649,False,CUAD_external,logistic_regression,CUAD,"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT",cuad_260_0_6_0,Notice Period To Terminate Renewal,Notices,352,61
"This Agreement will commence on the Effective Date and continue for an Initial Term of five (5) years, and will automatically renew for additional periods of five (5) years unless one Party notifies the other of its intention not to renew, no less than 12 months prior to the expiration of the then-current term, unless terminated as permitted under this Agreement.",Notices,1,Terms,9,0.9427415974930922,False,CUAD_external,logistic_regression,CUAD,"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",cuad_107_0_6_0,Notice Period To Terminate Renewal,Notices,365,61
"This Agreement shall continue in force for a term of twelve (12) months from the Effective Date, unless terminated earlier under the provisions of this Article 8 (the ""Term""); PROVIDED that TouchStar shall have the right to terminate this Agreement at any time after the Effective Date upon not less than fifteen (15) days' prior written notice to Reseller.",Terminations,10,Terms,9,0.94232235396943,False,CUAD_external,logistic_regression,CUAD,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,cuad_57_0_15_0,Termination For Convenience,Terminations,357,59
"This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.",Notices,1,Terms,9,0.9418498076675936,False,CUAD_external,logistic_regression,CUAD,SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement,cuad_268_0_6_0,Notice Period To Terminate Renewal,Notices,396,66
"After the Initial Term (including any extension thereto made in accordance with the preceding sentence), the Agreement may be extended on a yearly basis up to ten (10) years at Vericel's sole discretion, with renewal notice to be provided to MediWound no later than twelve (12) months prior to the expiry of any yearly extension (the ""Renewal Term"", and the Initial Term, together with the Renewal Term, if any, the ""Term""); provided that unless otherwise agreed by the Parties, the Term of this Agreement (including the Initial Term, any extension of the Initial Term and any Renewal Terms) shall be no more than fifteen (15) years in total.",Notices,1,Terms,9,0.9404110768703331,False,CUAD_external,logistic_regression,CUAD,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,cuad_54_0_6_0,Notice Period To Terminate Renewal,Notices,642,108
"This contract shall remain in effect initially for the five (5) year term (""Initial Term"") from the date signed and shall be automatically extended for one (1) year periods after the Initial Term (""Renewal Term"") unless (i) either party provides written notice of its intention not to renew the Agreement within 180 days prior to any Renewal Term; or (ii) this Agreement is otherwise terminated pursuant to the terms of this Section 12.",Notices,1,Terms,9,0.937930024887291,False,CUAD_external,logistic_regression,CUAD,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,cuad_311_0_6_0,Notice Period To Terminate Renewal,Notices,436,73
The initial term of this Agreement and any renewal term thereof shall be automatically extended at the end of the initial term and any renewal term thereof for an additional one (1) year period unless either Party notifies the other Party not less than six (6) months before the end of the then in effect term of its intent to terminate this Agreement,Notices,1,Terms,9,0.9356339422547997,False,CUAD_external,logistic_regression,CUAD,RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement,cuad_149_0_6_0,Notice Period To Terminate Renewal,Notices,351,63
"Upon the expiration of the Term, the Term shall automatically extend for successive 12-month periods until one Party terminates the Agreement by providing at least 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.",Notices,1,Terms,9,0.9349280622886849,False,CUAD_external,logistic_regression,CUAD,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement,cuad_444_0_6_1,Notice Period To Terminate Renewal,Notices,337,54
"Following the Initial Term, this Agreement shall automatically renew for successive terms of six (6) months (each a ""Renewal Term"", and together with the Initial Term, the ""Term"") unless written notice is given by either Party no later than thirty (30) days in advance of the expiration of the Initial Term or the applicable Renewal Term.",Notices,1,Terms,9,0.9344067709495121,False,CUAD_external,logistic_regression,CUAD,XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,cuad_410_0_6_0,Notice Period To Terminate Renewal,Notices,338,56
"AIG shall have the absolute right to terminate this Agreement upon thirty (30) days' prior written notice to the Company, which notice shall state the effective date of termination (the ""Termination Date""); provided, however, that AIG agrees not to terminate this Agreement unless (a) AIG significantly modifies the",Notices,1,Terminations,10,0.9308421749226907,False,CUAD_external,logistic_regression,CUAD,VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,cuad_74_0_6_0,Notice Period To Terminate Renewal,Notices,315,48
"Unless otherwise terminated as provided herein, the initial term of this Agreement shall be three (3) years from the Effective Date and shall thereafter be automatically renewed for subsequent one (1) year periods unless either party notifies the other in writing of its election not to renew the Agreement at least one hundred twenty (120) days prior to the expiration of the then-current term.",Notices,1,Terms,9,0.930603265127754,False,CUAD_external,logistic_regression,CUAD,"VISIUMTECHNOLOGIES,INC_10_20_2004-EX-10.20-DISTRIBUTOR AGREEMENT",cuad_369_0_6_0,Notice Period To Terminate Renewal,Notices,395,64
"Subject to the other provisions contained herein, this AGREEMENT shall be for a term of thirty (30) years from the Effective Date, which shall automatically renew from year-to-year thereafter unless terminated by a Party upon sixty (60) days' written notice after the end of the term.",Notices,1,Terms,9,0.929847246265519,False,CUAD_external,logistic_regression,CUAD,STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT,cuad_123_0_6_0,Notice Period To Terminate Renewal,Notices,284,46
"Unless this Agreement is terminated pursuant to Section 25, this Agreement will automatically renew for additional successive [***] terms (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") unless and until either Party provides written notice of non-renewal to the other Party at least [***] prior to the end of the then-current Term.",Notices,1,Terms,9,0.9257480470874421,False,CUAD_external,logistic_regression,CUAD,"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT",cuad_253_0_6_0,Notice Period To Terminate Renewal,Notices,354,56
"Unless either party gives the other at least ninety days' prior written notice that it has elected not to extend the term of this Agreement beyond December 31, 1998, the term of this Agreement will be automatically extended until December 31, 1999.",Notices,1,Terms,9,0.9256407224672846,False,CUAD_external,logistic_regression,CUAD,SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT,cuad_391_0_6_1,Notice Period To Terminate Renewal,Notices,248,42
