text,label,label_id,predicted_label_id,predicted_label,is_correct,model_name,dataset_name,split,text_short,analysis_note
"Upon consummation of an IPO or a Sale of the Company, this Agreement will be terminated (and replaced, in the case of an IPO, by a suitable replacement stockholders’ agreement as reasonably determined by the Board of Directors immediately prior to the IPO) and each of the Members will be fully, finally and forever discharged and released from any and all agreements, terms, covenants, conditions, representations, warranties and other obligations arising under this Agreement and all rights and benefits of the Members arising under this Agreement shall be fully, finally and forever terminated and extinguished; provided , that Article VII, Article XI and this Article XII (and, solely in the case of a Sale of the Company, Section 9.08 to the extent any obligations thereunder have not been fully performed) shall survive and continue to apply in accordance with the their terms.",Terminations,10,6,Survival,False,linear_svm,LEDGAR,test,"Upon consummation of an IPO or a Sale of the Company, this Agreement will be terminated (and replaced, in the case of an IPO, by a suitable replacement stockholders’ agreement as reasonably determined by the Board of Directors immediately prior to the IPO) and each of the Members will be fully, finally and forever discharged and released from any a",Manual analyst note required; do not auto-generate a reason as a result.
"Except as otherwise provided below or in the Award Document, all Options will become exercisable at the rate of 20% per year on each of the first five anniversaries of the Grant Date and will expire and terminate at 4:00 p.m. Eastern Time on the tenth anniversary of the Grant Date.",General,16,9,Terms,False,linear_svm,LEDGAR,test,"Except as otherwise provided below or in the Award Document, all Options will become exercisable at the rate of 20% per year on each of the first five anniversaries of the Grant Date and will expire and terminate at 4:00 p.m. Eastern Time on the tenth anniversary of the Grant Date.",Manual analyst note required; do not auto-generate a reason as a result.
"The duties, responsibilities and powers of the Trust Administrator will terminate when the Trust is dissolved and terminated pursuant to Article IV hereof and the Trust Administrator has performed all of its obligations under Section 4.3 , by an order of the Bankruptcy Court or by entry of a final decree closing the Debtors’ cases before the Bankruptcy Court; provided , however , that Sections 9.4, 9.5 and 9.6 hereof shall survive such termination, dissolution and entry.",Terminations,10,6,Survival,False,linear_svm,LEDGAR,test,"The duties, responsibilities and powers of the Trust Administrator will terminate when the Trust is dissolved and terminated pursuant to Article IV hereof and the Trust Administrator has performed all of its obligations under Section 4.3 , by an order of the Bankruptcy Court or by entry of a final decree closing the Debtors’ cases before the Bankru",Manual analyst note required; do not auto-generate a reason as a result.
"Any Property Costs that are not reflected in the adjustments to the Purchase Price following the final adjustment pursuant to Section 9.4(b) shall be treated as follows: (a) all Property Costs for which Seller is responsible under Section 2.4 shall be the sole obligation of Seller, and Seller shall promptly pay, or, if paid by Buyers, promptly reimburse Buyers for and hold Buyers harmless from and against, such Property Costs; and (b) all Property Costs for which Buyers are responsible under Section 2.4 shall be the sole obligation of Buyers, and Buyers shall promptly pay, or, if paid by Seller, promptly reimburse Seller for and hold Seller harmless from and against, such Property Costs. Furthermore, Seller shall promptly pay, or if paid by Buyers, promptly reimburse Buyers for and hold Buyers harmless from and against, any costs (other than Property Costs) which result in the increase of the Purchase Price pursuant to Section 3.2 . Seller is entitled to resolve all joint interest audits and other audits of Property Costs covering periods for which Seller is in whole or in part responsible, provided that Seller shall not agree to any adjustments to previously assessed costs for which Buyers are liable without the prior written consent of Buyers, such consent not to be unreasonably withheld. Seller shall provide Buyers with a copy of all applicable audit reports and written audit agreements received by Seller and relating to periods for which Buyers are partially responsible.",Expenses,8,12,Taxes,False,linear_svm,LEDGAR,test,"Any Property Costs that are not reflected in the adjustments to the Purchase Price following the final adjustment pursuant to Section 9.4(b) shall be treated as follows: (a) all Property Costs for which Seller is responsible under Section 2.4 shall be the sole obligation of Seller, and Seller shall promptly pay, or, if paid by Buyers, promptly reim",Manual analyst note required; do not auto-generate a reason as a result.
"The duties, responsibilities and powers of the GUC Trust Administrator will terminate when the GUC Trust is dissolved and terminated pursuant to Article IV hereof and the GUC Trust Administrator has performed all of its obligations under Section 4.3 , by an order of the Bankruptcy Court or by entry of a final decree closing the Debtors’ cases before the Bankruptcy Court; provided , however , that Sections 9.4 , 9.5 and 9.6 hereof shall survive such termination, dissolution and entry.",Terminations,10,6,Survival,False,linear_svm,LEDGAR,test,"The duties, responsibilities and powers of the GUC Trust Administrator will terminate when the GUC Trust is dissolved and terminated pursuant to Article IV hereof and the GUC Trust Administrator has performed all of its obligations under Section 4.3 , by an order of the Bankruptcy Court or by entry of a final decree closing the Debtors’ cases befor",Manual analyst note required; do not auto-generate a reason as a result.
"Perry acknowledges that the terms of this Agreement fully comply with applicable law including but not limited to the OWBPA, as amended, and implementing regulations, and that said terms therefore are final and binding. Specifically, Perry acknowledges that this Agreement specifically refers to his rights and claims under the federal and state statutes prohibiting age discrimination, and he understands that he is irrevocably waiving such rights and claims. Perry acknowledges that Perry compensation and benefits recited in this Agreement are good and valuable.",Compliance With Laws,17,19,Waivers,False,linear_svm,LEDGAR,test,"Perry acknowledges that the terms of this Agreement fully comply with applicable law including but not limited to the OWBPA, as amended, and implementing regulations, and that said terms therefore are final and binding. Specifically, Perry acknowledges that this Agreement specifically refers to his rights and claims under the federal and state stat",Manual analyst note required; do not auto-generate a reason as a result.
"Subject to the provisions set forth in Article IV, the Company shall indemnify, and advance Expenses to, Indemnitee to the fullest extent permitted by applicable law in effect on the date hereof and to such greater extent as applicable law may hereafter from time to time permit. The other provisions set forth in this Agreement are provided in addition to and as a means of furtherance and implementation of, and not in limitation of, the obligations expressed in this Article III. No requirement, condition to or limitation of any right to indemnification or to advancement of Expenses under this Article III shall in any way limit the rights of Indemnitee under Article VII.",General,16,18,Indemnifications,False,linear_svm,LEDGAR,test,"Subject to the provisions set forth in Article IV, the Company shall indemnify, and advance Expenses to, Indemnitee to the fullest extent permitted by applicable law in effect on the date hereof and to such greater extent as applicable law may hereafter from time to time permit. The other provisions set forth in this Agreement are provided in addit",Manual analyst note required; do not auto-generate a reason as a result.
"Except as shall otherwise be stated herein or as otherwise required by applicable law, all shares of Common Stock shall be identical in all respects and shall entitle the holders thereof to the same rights and privileges, subject to the same qualifications, limitations and restrictions.",General,16,9,Terms,False,linear_svm,LEDGAR,test,"Except as shall otherwise be stated herein or as otherwise required by applicable law, all shares of Common Stock shall be identical in all respects and shall entitle the holders thereof to the same rights and privileges, subject to the same qualifications, limitations and restrictions.",Manual analyst note required; do not auto-generate a reason as a result.
"Each Subsidiary of the Company that is or becomes a “Subsidiary Borrower” pursuant to this Section 2.23 hereby irrevocably appoints the Company as its agent for all purposes relevant to this Agreement and each of the other Loan Documents, including (i) the giving and receipt of notices, (ii) the execution and delivery of all documents, instruments and certificates contemplated herein and all modifications hereto, and (iii) the receipt of the proceeds of any Loans made by the Lenders to any such Subsidiary Borrower hereunder. Any acknowledgment, consent, direction, certification or other action which might otherwise be valid or effective only if given or taken by all Borrowers, or by each Borrower acting singly, shall be valid and effective if given or taken only by the Company, whether or not any such other Borrower joins therein.",Notices,1,16,General,False,linear_svm,LEDGAR,test,"Each Subsidiary of the Company that is or becomes a “Subsidiary Borrower” pursuant to this Section 2.23 hereby irrevocably appoints the Company as its agent for all purposes relevant to this Agreement and each of the other Loan Documents, including (i) the giving and receipt of notices, (ii) the execution and delivery of all documents, instruments ",Manual analyst note required; do not auto-generate a reason as a result.
"Upon the Completion Date with respect to the Facility and the installation of all of the Equipment therein, the Company shall prepare and deliver to the Agency, a schedule listing all of the Equipment not previously described in this Lease Agreement. If requested by the Agency, the Company shall thereafter furnish to the Agency, within sixty (60) days after the end of each calendar year, a schedule listing all of the Equipment not theretofore previously described herein or in the aforesaid schedule.",Further Assurances,14,10,Terminations,False,linear_svm,LEDGAR,test,"Upon the Completion Date with respect to the Facility and the installation of all of the Equipment therein, the Company shall prepare and deliver to the Agency, a schedule listing all of the Equipment not previously described in this Lease Agreement. If requested by the Agency, the Company shall thereafter furnish to the Agency, within sixty (60) d",Manual analyst note required; do not auto-generate a reason as a result.
