label,rank,term,tfidf_score
Amendments,1,the,0.6058069734237568
Amendments,2,of,0.3728442599408847
Amendments,3,or,0.29279000265515026
Amendments,4,and,0.21845125562532822
Amendments,5,any,0.18894586177175432
Amendments,6,to,0.18890874806879385
Amendments,7,in,0.1571023046316708
Amendments,8,be,0.1332381936280884
Amendments,9,agreement,0.1301206425794089
Amendments,10,by,0.12934125481723902
Amendments,11,shall,0.12277212939323577
Amendments,12,of the,0.11813291652317698
Amendments,13,this,0.11631434507811395
Amendments,14,such,0.09408323700479222
Amendments,15,a,0.09241312037157107
Amendments,16,credit,0.08870175007552403
Amendments,17,amendment,0.08101921356270668
Amendments,18,this agreement,0.07359647297061261
Amendments,19,may,0.07252017558475898
Amendments,20,as,0.0632417498446414
Assignments,1,the,0.5332863743781489
Assignments,2,of,0.3517916061883401
Assignments,3,and,0.31843863131754596
Assignments,4,or,0.2688305964916717
Assignments,5,to,0.2650578171440728
Assignments,6,any,0.17218322767233077
Assignments,7,this,0.15335946688484284
Assignments,8,agreement,0.1426833040501482
Assignments,9,in,0.13874998090052387
Assignments,10,shall,0.13409421064178487
Assignments,11,of the,0.12903708087798213
Assignments,12,be,0.12377927136164757
Assignments,13,this agreement,0.1147888184482205
Assignments,14,by,0.09588478575971986
Assignments,15,to the,0.08512835102401248
Assignments,16,such,0.08472699151894877
Assignments,17,a,0.07485354769438156
Assignments,18,all,0.07212430305994834
Assignments,19,assignment,0.0713617200003273
Assignments,20,its,0.07027804933665528
Compliance With Laws,1,the,0.454781467273069
Compliance With Laws,2,and,0.36218683064442797
Compliance With Laws,3,to,0.3158612650340036
Compliance With Laws,4,of,0.3013986494287979
Compliance With Laws,5,or,0.29806546848853566
Compliance With Laws,6,any,0.19965188886248766
Compliance With Laws,7,in,0.19942591049365632
Compliance With Laws,8,with,0.1465469721871231
Compliance With Laws,9,all,0.1397111265299751
Compliance With Laws,10,applicable,0.11140733583384994
Compliance With Laws,11,laws,0.10875209000008171
Compliance With Laws,12,be,0.09530637705461706
Compliance With Laws,13,a,0.092255669075394
Compliance With Laws,14,material,0.09106874494205461
Compliance With Laws,15,its,0.08880949895071608
Compliance With Laws,16,not,0.07847098857668233
Compliance With Laws,17,such,0.0727085401714832
Compliance With Laws,18,of the,0.07180462669615785
Compliance With Laws,19,company,0.06655062962082922
Compliance With Laws,20,comply,0.06316095408835914
Confidentiality,1,the,0.5435880492618953
Confidentiality,2,or,0.3453399353864997
Confidentiality,3,to,0.31949607855511347
Confidentiality,4,of,0.31074161190119154
Confidentiality,5,and,0.2367901427862725
Confidentiality,6,any,0.22146283375640274
Confidentiality,7,in,0.14717573013718
Confidentiality,8,such,0.1279886243078175
Confidentiality,9,information,0.11915024902781961
Confidentiality,10,this,0.11240958939971996
Confidentiality,11,by,0.11151456405491005
Confidentiality,12,of the,0.09752979304225516
Confidentiality,13,other,0.09741791487415392
Confidentiality,14,that,0.09663476769744525
Confidentiality,15,agreement,0.09067725524605427
Confidentiality,16,confidential,0.088629453732124
Confidentiality,17,with,0.08572664630757444
Confidentiality,18,a,0.08555882905542259
Confidentiality,19,to the,0.08214654492833479
Confidentiality,20,company,0.07392349957289372
Counterparts,1,of,0.33698638904088346
Counterparts,2,be,0.2612906111365253
Counterparts,3,and,0.21755527279178502
Counterparts,4,counterparts,0.21709247405109725
Counterparts,5,shall,0.209733375741668
Counterparts,6,the,0.20743446693123935
Counterparts,7,this,0.1697828262921456
Counterparts,8,executed,0.16344680932681788
Counterparts,9,agreement,0.1466255253480716
