text,true_label,predicted_label,confidence,requires_human_review,triage_note,optional_qwen_explanation
"Each party hereto shall do and perform, or cause to be done and performed, all such further acts and things, and shall execute and deliver all such other agreements, certificates, instruments and documents, as the other party may reasonably request in order to carry out the intent and accomplish the purposes of this Agreement and the consummation of the transactions contemplated hereby.",Further Assurances,Further Assurances,0.7603899272668535,False,This output is for clause triage and research purposes only.,
"There is no pending or threatened notice, claim, litigation, proceeding or investigation against or affecting the Borrowers or any property of the Borrowers, whether or not covered by insurance, that would involve the payment by a Borrower of an amount that would be reasonably likely to have a material adverse effect on the financial condition, business, prospects, property or operations of a Borrower, and there is no basis for any such order, notice, claim, litigation, proceeding or investigation.",Litigations,Litigations,0.7245541937942187,False,This output is for clause triage and research purposes only.,
"The term of this Agreement shall commence on January 1, 2019, and shall continue until December 31, 2021. This Agreement is binding, however, only during the periods, which the Track is authorized to operate “permitted activities” as, defined in the Race Track Video Lottery Act of 1994.",Terms,Terms,0.6981550416369545,False,This output is for clause triage and research purposes only.,
"The Executive acknowledges that, by reason of being employed by the Company at the relevant times, to the extent permitted by law, all of the Work Product consisting of copyrightable subject matter is “ work made for hire ” as defined in 17 U.S.C. § 101 and such copyrights are therefore owned by the Company. To the extent that the foregoing does not apply, the Executive hereby irrevocably assigns to the Company, for no additional consideration, the Executive’s entire right, title, and interest in and to all Work Product and Intellectual Property Rights therein, including the right to sue, counterclaim, and recover for all past, present, and future infringement, misappropriation, or dilution thereof, and all rights corresponding thereto throughout the world. Nothing contained in this Agreement shall be construed to reduce or limit the Company’s rights, title, or interest in any Work Product or Intellectual Property Rights so as to be less in any respect than that the Company would have had in the absence of this Agreement.",Assignments,Assignments,0.6482948068964265,False,This output is for clause triage and research purposes only.,
"Pledgor will, from time to time, timely pay and discharge (or cause to be paid or discharged) all taxes, assessments and other governmental charges imposed upon the Collateral or any part thereof or upon the income or profits therefrom, and also all taxes, assessments and other governmental charges imposed upon the lien or interest of Lender under this Agreement or in respect of the Collateral.",Taxes,Taxes,0.6947917424276604,False,This output is for clause triage and research purposes only.,
"Except as set forth on Schedule 3.6 as of the Closing Date, and except as hereafter disclosed to Lender in writing (including disclosures pursuant to Section 4.9 or otherwise, it being understood that any such disclosures shall not act as a consent or waiver of any Default or Event of Default arising under Section 4.9, Section 10.1(h) or any other provision of this Agreement), there is no Litigation pending against, or to such Credit Party’s knowledge threatened against or affecting, any Credit Party or, to such Credit Party’s knowledge, any party to any Operative Document other than a Credit Party. Other than as disclosed on Schedule 3.6, there is no Litigation pending in which an adverse decision could reasonably be expected to have a Material Adverse Effect or which in any manner draws into question the validity of any of the Operative Documents.",Litigations,Litigations,0.6636837909897146,False,This output is for clause triage and research purposes only.,
"This Warrant shall be governed by and construed in accordance with the laws of the State of Nevada without regard to principles of conflicts of laws. Any action brought by either party against the other concerning the transactions contemplated by this Warrant shall be brought only in the state courts of Massachusetts or in the federal courts located in the Commonwealth of Massachusetts. The parties to this Warrant hereby irrevocably waive any objection to jurisdiction and venue of any action instituted hereunder and shall not assert any defense based on lack of jurisdiction or venue or based upon forum non conveniens . THE BORROWER HEREBY IRREVOCABLY WAIVES ANY RIGHT IT MAY HAVE TO, AND AGREES NOT TO REQUEST, A JURY TRIAL FOR THE ADJUDICATION OF ANY DISPUTE HEREUNDER OR IN CONNECTION WITH OR ARISING OUT OF THIS WARRANT OR ANY TRANSACTION CONTEMPLATED HEREBY . The prevailing party shall be entitled to recover from the other party its reasonable attorney’s fees and costs. In the event that any provision of this Warrant or any other agreement delivered in connection herewith is invalid or unenforceable under any applicable statute or rule of law, then such provision shall be deemed inoperative to the extent that it may conflict therewith and shall be deemed modified to conform with such statute or rule of law. Any such provision which may prove invalid or unenforceable under any law shall not affect the validity or enforceability of any other provision of any agreement. Each party hereby irrevocably waives personal service of process and consents to process being served in any suit, action or proceeding in connection with this Agreement or any other Transaction Document by mailing a copy thereof via registered or certified mail or overnight delivery (with evidence of delivery) to such party at the address in effect for notices to it under this Agreement and agrees that such service shall constitute good and sufficient service of process and notice thereof. Nothing contained herein shall be deemed to limit in any way any right to serve process in any other manner permitted by law.",Governing Laws,Governing Laws,0.6760196361436237,False,This output is for clause triage and research purposes only.,
"This Assignment constitutes the entire and final agreement amongst the parties with respect to the subject matter hereof and may not be changed, terminated or otherwise varied, except by a writing duly executed by the parties.",Entire Agreements,Entire Agreements,0.6798746868608383,False,This output is for clause triage and research purposes only.,
"The term of this Sublease (""Term"") shall commence on the earlier of (the “Commencement Date”): (i) Sublessee’s commencement of its business operations in any portion of the Premises, and (ii) the one hundred fiftieth (150 th ) day after the date on which the Early Access Period (as defined below) has commenced, and shall end on October 15, 2028 (""Expiration Date""), unless this Sublease is sooner terminated pursuant to its terms or the Master Lease is sooner terminated pursuant to its terms; provided, however, that the Commencement Date shall be (i) advanced by one (1) day for each day that the commencement of the Early Access Period is delayed by any act or omission of Sublessee, and (ii) extended by one (1) day for each day that the “Substantial Completion of the Tenant Improvements” (defined below) has been delayed by a “Landlord Caused Delay” (defined below), but only if and to the extent any such Landlord Caused Delay is responsible for causing the Substantial Completion of the Tenant Improvements to be delayed beyond the one hundred fiftieth (150 th ) day after the date on which the Early Access Period has commenced. Once the Commencement Date has been established, Sublessor and Sublessee shall execute a commencement date memorandum setting forth the Commencement Date; provided, however, that the failure to execute such a memorandum shall not affect Sublessee’s liability hereunder. The parties acknowledge that Sublessee has no option to extend the Term of this Sublease.",Terms,Terms,0.5641868816050807,False,This output is for clause triage and research purposes only.,
"This Amendment may be executed by the parties hereto individually or in combination, in one or more counterparts, each of which shall be an original and all of which shall constitute one and the same agreement. Delivery of an executed counterpart of a signature page by telecopier or electronic mail (in a .pdf format) shall be effective as delivery of a manually executed counterpart.",Counterparts,Counterparts,0.7184553251995363,False,This output is for clause triage and research purposes only.,
