text,true_label,true_label_id,predicted_label,predicted_label_id,confidence,is_correct,dataset_name,model_name,source_dataset,contract_id,span_id,label_original,label_mapped,text_length_chars,text_length_words
"Unless terminated sooner, the term of this Agreement shall begin on the Effective Date and continue for three (3) years thereafter (the ""Initial Term"") and shall automatically renew for additional one (1) year terms on the terms and conditions set forth herein (each a ""Renewal Term"" and collectively, the ""Term"") unless either party gives the other Party Notice of its intention to terminate this Agreement ninety (90) days before the end of the Initial Term or Renewal Term, if any.",Notices,1,Terms,9,2.535042245874988,False,CUAD_external,linear_svm,CUAD,"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",cuad_350_0_6_0,Notice Period To Terminate Renewal,Notices,484,80
"Subject to the other provisions of this Agreement, the term of this Agreement shall commence on the Effective Date and shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice.",Notices,1,Terms,9,2.023922003584677,False,CUAD_external,linear_svm,CUAD,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,cuad_151_0_6_0,Notice Period To Terminate Renewal,Notices,219,36
"Subject to the other provisions of this Agreement, the term of this Agreement shall commence on the Effective Date and shall remain in effect until terminated by either Party upon thirty (30) days' prior written notice.",Terminations,10,Terms,9,2.023922003584677,False,CUAD_external,linear_svm,CUAD,ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,cuad_151_0_15_0,Termination For Convenience,Terminations,219,36
This Agreement shall commence on the Effective Date and shall be valid for a period of five (5) years with automatic renewal of one year thereafter until terminated,Notices,1,Terms,9,1.8682134746025736,False,CUAD_external,linear_svm,CUAD,Apollo Endosurgery - Manufacturing and Supply Agreement,cuad_224_0_6_1,Notice Period To Terminate Renewal,Notices,164,28
"This agreement begins on the Commencement Date and, subject to clause 11.2, shall continue for an initial term of one (1) years (Initial Term) and indefinitely after that until terminated by either party giving at least twelve (12) months' prior written notice to expire on or after the expiry date of the initial term.",Notices,1,Terms,9,1.8038952487822342,False,CUAD_external,linear_svm,CUAD,FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,cuad_67_0_6_0,Notice Period To Terminate Renewal,Notices,319,54
"This contract shall be for a term of one year commencing on the date first above written; thereafter, it shall automatically continue until terminated by either party upon not less than thirty (30) days prior written notice to the other party.",Notices,1,Terms,9,1.6814848160984397,False,CUAD_external,linear_svm,CUAD,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT,cuad_422_0_6_0,Notice Period To Terminate Renewal,Notices,243,41
"This contract shall be for a term of one year commencing on the date first above written; thereafter, it shall automatically continue until terminated by either party upon not less than thirty (30) days prior written notice to the other party.",Terminations,10,Terms,9,1.6814848160984397,False,CUAD_external,linear_svm,CUAD,ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT,cuad_422_0_15_0,Termination For Convenience,Terminations,243,41
"After the Initial Term (including any extension thereto made in accordance with the preceding sentence), the Agreement may be extended on a yearly basis up to ten (10) years at Vericel's sole discretion, with renewal notice to be provided to MediWound no later than twelve (12) months prior to the expiry of any yearly extension (the ""Renewal Term"", and the Initial Term, together with the Renewal Term, if any, the ""Term""); provided that unless otherwise agreed by the Parties, the Term of this Agreement (including the Initial Term, any extension of the Initial Term and any Renewal Terms) shall be no more than fifteen (15) years in total.",Notices,1,Terms,9,1.5681252162750905,False,CUAD_external,linear_svm,CUAD,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,cuad_54_0_6_0,Notice Period To Terminate Renewal,Notices,642,108
"The term of this Agreement is three years from and including the date of this Agreement (the ""Initial Term""), with automatic renewal for additional successive one-year terms (each a ""Renewal Term"" and together wit the Initial Term, the ""Term"") unless no later than [* * *] days prior to the end of the Initial Term, or any Renewal Term either party notifies the other that it wishes to terminate this Agreement effective the end of the Initial Term or that Renewal Term, as applicable.",Notices,1,Terms,9,1.5557410570147723,False,CUAD_external,linear_svm,CUAD,"VAPOTHERM, INC. - Manufacturing and Supply Agreement",cuad_194_0_6_0,Notice Period To Terminate Renewal,Notices,485,84
The initial term of this Agreement shall be for a period of five (5) years from the date first set forth above and shall thereafter automatically renew for additional two (2) year terms unless a party provides the other party with notice of non-renewal no less than 6 months prior to the expiration of the initial term or any renewal term unless earlier terminated as follows:,Notices,1,Terms,9,1.5452839145523938,False,CUAD_external,linear_svm,CUAD,NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR AGREEMENT,cuad_85_0_6_0,Notice Period To Terminate Renewal,Notices,376,66
